epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,51.5665,1.45992,0.72139,1.15992,0.96578,0.92934,0.98146,0.43934,1.93072,0.96078,1.14489,0.0015941,0.0015941,0.0015941
43,52.7211,1.4811,0.71794,1.16398,0.94545,0.94785,0.9809,0.45211,1.87032,0.87094,1.16293,0.0015842,0.0015842,0.0015842
1,2.87525,3.44805,3.53937,2.5545,0.01821,0.03844,0.0095,0.00339,1.49021,inf,1.18875,0.00012,0.00012,0.00012
2,4.41394,2.54277,3.15527,1.84517,0.07551,0.15945,0.05557,0.01069,3.65002,inf,2.42546,0.000258713,0.000258713,0.000258713
3,5.66616,2.09316,2.44424,1.48596,0.09577,0.20222,0.1379,0.02366,3.74307,2.88591,2.68842,0.00039604,0.00039604,0.00039604
4,6.82266,1.98753,2.11765,1.41679,0.04077,0.08609,0.02695,0.00528,3.72555,2.90652,2.8029,0.000531981,0.000531981,0.000531981
5,7.95694,1.86835,1.78818,1.33796,0.20141,0.42528,0.16875,0.03657,3.31671,2.22165,2.46883,0.000666536,0.000666536,0.000666536
6,9.09847,1.79606,1.51788,1.27374,0.61562,0.59015,0.48733,0.08077,3.14779,1.56692,2.29303,0.000799705,0.000799705,0.000799705
7,10.4397,1.78936,1.3357,1.28019,0.91929,0.90348,0.92551,0.25434,2.64525,1.20714,1.7558,0.000931488,0.000931488,0.000931488
8,11.607,1.82622,1.25305,1.30887,0.94537,0.9323,0.96584,0.38494,2.18743,1.08754,1.39734,0.00106188,0.00106188,0.00106188
9,12.8257,1.82143,1.18468,1.30767,0.92934,0.89723,0.9565,0.48425,1.8497,1.08479,1.19357,0.0011909,0.0011909,0.0011909
10,13.9774,1.71438,1.14624,1.24823,0.8948,0.83324,0.90841,0.29912,2.36993,1.42807,1.42839,0.00131852,0.00131852,0.00131852
